Наименование городов,Кол-во отправок,Кол-во мест,Вес кг.,Стоимость услуг руб.
Балакирево п,2,2,0.12,5861.86
Владивосток г,1,1,0.1,3321.82
Вологда г,4,4,0.584,10107.44
Железногорск г,1,1,0.06,3056.83
Изоплит пгт,1,1,5.42,4971.74
Казань г,1,1,0.06,2626.42
Кострома г,2,2,0.14,5053.72
Малые Колпаны д,2,2,0.14,5621.76
Новосибирск г,2,2,0.21,6093.16
Петрозаводск г,2,2,0.19,5252.84
Москва г 1,5,5,0.5,10577.4
Москва г 2,5,5,0.5,10577.4
Москва г 3,5,5,2.93,12067.75
Санкт-Петербург г 1,6,6,5.461,17225.44
Санкт-Петербург г 2,6,7,14.846,21134.32
Санкт-Петербург г 3,6,7,61.596,39725.65

